# Nomina de emisores de valores de la CMF.
# fuente: https://www.cmfchile.cl/institucional/mercados/descargar_consulta?mercado=V&Estado=TO&entidad=RVEMI
# descargado: 2026-09-22
# filas: 1138
rut,dv,nombre,estado
89344400,9,PRESTACIONES DE SALUD S.A.,No Vigente
89862200,2,LATAM AIRLINES GROUP S.A.,Vigente
89900400,0,ESVAL S.A.,No Vigente
89996200,1,ENVASES DEL PACIFICO S.A.,Vigente
90021000,0,SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A.,No Vigente
90035000,7,EMPRESAS TATTERSALL S.A.,No Vigente
90042000,5,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,No Vigente
90046000,7,CIA INDUSTRIAS CHILENAS CIC S.A.,No Vigente
90052000,K,COMPAÑIA MINERA DE TOCOPILLA S.A.,No Vigente
90053000,5,FERIAS REGIONALES DE CURICO S.A.(EN LIQ),No Vigente
90063000,K,SOC INDUSTRIAL TEOFILO GROB S.A.,No Vigente
90073000,4,INSTITUTO SANITAS S.A.,No Vigente
90081000,8,COMPAÑIA CHILENA DE FOSFOROS S.A.,Vigente
90084000,4,LABORATORIO GEKA S.A.,No Vigente
90088000,6,CLUB HIPICO DE CONCEPCION S.A.,Vigente
90093000,3,CIA DE CONSUMIDORES DE GAS DE TALCA S.A.,No Vigente
90094000,9,CLUB HIPICO DE ANTOFAGASTA S A,No Vigente
90115000,1,GRANADILLA COUNTRY CLUB S.A.,Vigente
90120000,9,SOC GANADERA DE LAGUNA BLANCA (LIQUID),No Vigente
90127000,7,SOC AGRICOLA DE ÑUBLE Y RUPANCO S.A.(EN LIQ),No Vigente
90129000,8,PRINCE OF WALES COUNTRY CLUB SOCIEDAD ANONIMA INMOBILIARIA,Vigente
90137000,1,SALINAS DE PUNTA DE LOBOS S.A.M.,No Vigente
90146000,0,SERVICIOS FINANCIEROS PROGRESO S.A.,Vigente
90154000,4,EMPRESA NACIONAL DEL CARBON S.A. EN LIQUIDACION,No Vigente
90160000,7,COMPAÑIA SUD AMERICANA DE VAPORES S.A.,Vigente
90178000,5,CIA CHILENA DE ELECTRICIDAD S.A. EN LIQUIDACION,No Vigente
